"Comment","Designator","Footprint","LCSC Part #"
"10uF","C4,C5,C28,C30,C31,C32,C13,C18,C26","C_0402_1005Metric","C15525"
"10uF 25V","C8,C3,C6","C_0603_1608Metric","C96446"
"10pF","C11,C12","C_0402_1005Metric","C32949"
"1uF","C23,C29,C1,C7,C10,C15,C40","C_0402_1005Metric","C52923"
"1nF","C24","C_1206_3216Metric","C35216"
"100nF","C25,C27,C34,C35,C36,C37,C38,C2,C39,C9,C14,C16,C17,C21,C22","C_0402_1005Metric","C1525"
"10uF","C33","CP_EIA-3216-10_Kemet-I","C7171"
"1N5819WS","D2,D1","D_SOD-323","C191023"
"B5819W","D3","D_SOD-123","C8598"
"BAV70","D4","SOT-23","C68978"
"1N4148WS","D5","D_SOD-323","C2128"
"2A","F2,F3","R_0603_1608Metric","C96542"
"Bead","FB1","L_0805_2012Metric","C1015"
"USB_C_Receptacle_USB2.0","J1","USB_C_Receptacle_Palconn_UTC16-G","C167321"
"10uH","L1","L_1210_3225Metric","C703786"
"0R","L2","L_0402_1005Metric","C17168"
"2.2uH","L3","L_Taiyo-Yuden_MD-3030","C43389"
"AO3401A","Q1,Q2","SOT-23","C15127"
"FS8205A","Q3","SOT-23-6","C2830320"
"2N7002","Q6","SOT-23","C8545"
"680k","R2","R_0603_1608Metric","C25822"
"50R","R3","R_0402_1005Metric","C25120"
"47k","R4,R10,R11,R21,R6","R_0402_1005Metric","C25792"
"0R","R7","R_0402_1005Metric","C17168"
"1k","R12,R14","R_0402_1005Metric","C11702"
"470R","R13","R_0402_1005Metric","C25117"
"10k","R15,R17,R30,R33,R29","R_0402_1005Metric","C25744"
"200k","R18","R_0805_2012Metric","C17539"
"5.1k","R19,R20,R5,R28,R8,R9,R16,R31","R_0402_1005Metric","C25905"
"10mR","R26","R_0805_2012Metric","C5185583"
"100R","R27,R22,R23,R24,R25,R32,R1","R_0402_1005Metric","C25076"
"Power","SW1","SW_SPST_B3U-3000P-B","C963349"
"BTN1","SW2","SW_SPST_B3U-3000P-B","C963349"
"BTN2","SW3","SW_SPST_B3U-3000P-B","C963349"
"BTN3","SW4","SW_SPST_B3U-3000P-B","C963349"
"~","U1","FFC_30P_TC_P0.5mm_0.5K-AS-30PWB","C2911772"
"W25Q128","U2","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","C2689660"
"ESP32-S3","U3","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias","C2913192"
"~","U5","ST_HCLGA-4LD_3x4mm","C966942"
"TPS61040DBV","U6","SOT-23-5","C7722"
"DW01+G","U7","SOT-23-6","C14213"
"BQ24081","U8","Texas_DRC0010J_ThermalVias","C555156"
"SRV05-4","U9","SOT-23-6","C85364"
"BQ27546","U10","DSBGA-15_BQ27546_I2C_1.95x2.6mm_P0.5mm","C528629"
"TPS63001","U11","Texas_DRC0010J_ThermalVias","C28060"
"40MHz","Y1","Crystal_SMD_2016-4Pin_2.0x1.6mm","C255898"
